ID,Label,Category,Place,"Lat., Long.",PublisherType,Affiliation,Gender
Free Press,Free Press,Publisher,,,,,
Frisch & Co.,Frisch & Co.,Publisher,,,,,
Front Street,Front Street,Publisher,,,,,
FSG,FSG,Publisher,,,,,
Gallic Books,Gallic Books,Publisher,,,,,
Garnet Publishing,Garnet Publishing,Publisher,,,,,
Gefen Publishing,Gefen Publishing,Publisher,,,,,
Glagoslav Publications,Glagoslav Publications,Publisher,,,,,
Glas,Glas,Publisher,,,,,
Gollancz,Gollancz,Publisher,,,,,
Gomidas Institute,Gomidas Institute,Publisher,,,,,
Goose Lane Editions,Goose Lane Editions,Publisher,,,,,
Gradiva Publications,Gradiva Publications,Publisher,,,,,
Grand Central,Grand Central,Publisher,,,,,
Graywolf,Graywolf,Publisher,,,,,
Green Integer,Green Integer,Publisher,,,,,
Groundwood,Groundwood,Publisher,,,,,
Grove,Grove,Publisher,,,,,
Guernica Editions,Guernica Editions,Publisher,,,,,
Haikasoru,Haikasoru,Publisher,,,,,
Hale,Hale,Publisher,,,,,
Hanging Loose Press,Hanging Loose Press,Publisher,,,,,
HaperCollins,HaperCollins,Publisher,,,,,
Harcourt,Harcourt,Publisher,,,,,
HarperCollins,HarperCollins,Publisher,,,,,
Harvard University Press,Harvard University Press,Publisher,,,,,
Haus,Haus,Publisher,,,,,
Hawthorne Books,Hawthorne Books,Publisher,,,,,
Helen Marx Books,Helen Marx Books,Publisher,,,,,
Henry Holt,Henry Holt,Publisher,,,,,
Hersilia Press,Hersilia Press,Publisher,,,,,
Hesperus,Hesperus,Publisher,,,,,
Hispabooks Publishing,Hispabooks Publishing,Publisher,,,,,
Hohm Press,Hohm Press,Publisher,,,,,
Holland Park Press,Holland Park Press,Publisher,,,,,
Holmes & Meier,Holmes & Meier,Publisher,,,,,
Host Publications,Host Publications,Publisher,,,,,
Houghton Mifflin Harcourt,Houghton Mifflin Harcourt,Publisher,,,,,
House of Anansi,House of Anansi,Publisher,,,,,
House of Nehesi,House of Nehesi,Publisher,,,,,
