ID,Label,Category,Place,"Lat., Long.",PubType,Affiliation,Gender
"Aslan, Reza","Aslan, Reza",Author,,,,,
"Aspe, Pieter","Aspe, Pieter",Author,,,,,
"Assam, Fadi","Assam, Fadi",Author,,,,,
"Aswany, Alaa Al","Aswany, Alaa Al",Author,,,,,
"Atsushi, Nakajima","Atsushi, Nakajima",Author,,,,,
"Atxaga, Bernardo","Atxaga, Bernardo",Author,,,,,
"Aub, Max","Aub, Max",Author,,,,,
"Aubry, Gwenaelle","Aubry, Gwenaelle",Author,,,,,
"Audeguy, Stephane","Audeguy, Stephane",Author,,,,,
"Auge, Marc","Auge, Marc",Author,,,,,
"Augieras, Francois","Augieras, Francois",Author,,,,,
"Avallone, Silvia","Avallone, Silvia",Author,,,,,
"Avigur-Rotem, Gabriela","Avigur-Rotem, Gabriela",Author,,,,,
"Avilova, Alla","Avilova, Alla",Author,,,,,
"Awa, Naoko","Awa, Naoko",Author,,,,,
"Ayesta, Julian","Ayesta, Julian",Author,,,,,
"Aygi, Gennady","Aygi, Gennady",Author,,,,,
"Ayhan, Ece","Ayhan, Ece",Author,,,,,
"Aykol, Esmahan","Aykol, Esmahan",Author,,,,,
"Ayme, Marcel","Ayme, Marcel",Author,,,,,
"Azaustre, Joquin Perez","Azaustre, Joquin Perez",Author,,,,,
"Azevedo, Francisco","Azevedo, Francisco",Author,,,,,
"Azuchi, Satoshi","Azuchi, Satoshi",Author,,,,,
"Azzawi, Fadhil Al","Azzawi, Fadhil Al",Author,,,,,
"Babiashkina, Anna","Babiashkina, Anna",Author,,,,,
"Baccalario, Pierdomenico","Baccalario, Pierdomenico",Author,,,,,
"Bachi, Salim","Bachi, Salim",Author,,,,,
"Backer, Heimrad","Backer, Heimrad",Author,,,,,
"Backman, Fredrik","Backman, Fredrik",Author,,,,,
"Bacon, Josephine","Bacon, Josephine",Author,,,,,
"Badai, ","Badai, ",Author,,,,,
"Bader, Ali","Bader, Ali",Author,,,,,
"Bakker, Gerbrand","Bakker, Gerbrand",Author,,,,,
"Baldini, Raffaello","Baldini, Raffaello",Author,,,,,
"Balestrini, Nanni","Balestrini, Nanni",Author,,,,,
"Ball, Hugo","Ball, Hugo",Author,,,,,
"Balzac, Honore de","Balzac, Honore de",Author,,,,,
"Bandopadhyay, Tarashankar","Bandopadhyay, Tarashankar",Author,,,,,
"Bar-Yosef, Hamutal","Bar-Yosef, Hamutal",Author,,,,,
"Barakat, Halim","Barakat, Halim",Author,,,,,
"Baranda, Maria","Baranda, Maria",Author,,,,,
"Baratynsky, Yevgeny","Baratynsky, Yevgeny",Author,,,,,
"Barba, Andres","Barba, Andres",Author,,,,,
"Barbero, Alessandro","Barbero, Alessandro",Author,,,,,
"Barbery, Muriel","Barbery, Muriel",Author,,,,,
"Barcelo, Francois","Barcelo, Francois",Author,,,,,
"Baricco, Alessandro","Baricco, Alessandro",Author,,,,,
"Barletta, Vincent","Barletta, Vincent",Author,,,,,
"Barnard, Chris","Barnard, Chris",Author,,,,,
